,Gene.1,log2fc,pvals_stud,p-values-corr,log10_p,log10_p-corr,marker_symbol,entrez,path,significant
11393,Grm6,0.09616158536585306,0.002239447140034767,0.006689237797901387,2.649859184195917,2.1746233648964184,Grm6,108072,path:mmu04072,False
11396,Grm7,0.3700006097560964,8.38462361082647e-22,2.653308065831826e-19,21.076516428276747,18.57621232275664,Grm7,108073,path:mmu04072,False
11399,Grm8,0.6755170731707318,3.9474749301460885e-13,1.5282467216265926e-11,12.403680619453626,10.815806527179609,Grm8,14823,path:mmu04072,True
11402,Grp,0.16512012195121886,5.216107848031617e-06,3.349815142993246e-05,5.282653437728436,4.4749791585133325,Grp,225642,path:mmu04080,False
11403,Grpr,0.029595731707316556,0.4216316631636001,0.5259856804649037,0.375066782470829,0.2790260790016358,Grpr,14829,path:mmu04020,False
11405,Gsdmd,-0.06123170731707006,0.07795214053765552,0.13450964032240467,1.108171954741613,0.8712465886073837,Gsdmd,69146,path:mmu04621,False
11406,Gsk3a,0.06107865853658723,0.0036708430393901713,0.010196267366121916,2.435234184982277,1.9915587850006329,Gsk3a,606496,path:mmu04062,False
11409,Gsk3b,-0.0024249999999987892,0.9218995937378388,0.9442839056158422,0.035316376408549593,0.02489741237017198,Gsk3b,56637,path:mmu01521,False
11448,Gsn,0.02863780487804668,0.3884830787751823,0.4930269122380764,0.4106278930911478,0.3071293737907378,Gsn,227753,path:mmu04666,False
11451,Gspt1,0.042812804878051836,0.10713343020900913,0.17502869050607667,0.9700749895802732,0.7568907564154702,Gspt1,14852,path:mmu03015,False
11452,Gspt2,0.015849390243901418,0.6467454933526287,0.7308983928034081,0.18926658884861164,0.13614299309944286,Gspt2,14853,path:mmu03015,False
11453,Gsr,0.0618140243902463,0.3819790908921383,0.4863281168638883,0.4179604092314726,0.31307062114570017,Gsr,14782,path:mmu00480,False
11455,Gss,-0.05931341463413986,0.1275879866613328,0.20174405740822668,0.8941902156799768,0.6951992490362545,Gss,14854,path:mmu00270,False
11459,Gsta1,0.5889332317073226,0.00010914245449458191,0.0004838833490130347,3.962006283634544,3.3152593222108155,Gsta1,14857,path:mmu00480,True
11468,Gsta2,0.5810396341463377,2.069015750215294e-05,0.00011210163500235967,4.6842362032900144,3.9503880531737647,Gsta2,14858,path:mmu00480,True
11477,Gsta3,-0.028472560975611568,0.5625587387659151,0.6577846235918259,0.24983212461202498,0.18191628282550196,Gsta3,14859,path:mmu00480,False
11486,Gsta4,0.1504353658536548,0.04560910343488006,0.08617442326516173,1.3409484648586298,1.0646216144891585,Gsta4,14860,path:mmu00480,False
11495,Gstk1,-0.19697073170731905,2.475161615311858e-05,0.00013149672474533923,4.606396438610574,3.8810850642292833,Gstk1,76263,path:mmu00480,False
11500,Gstm1,0.23428902439024316,1.591447628868659e-06,1.174755205420797e-05,5.79820764850863,4.930052621912145,Gstm1,14862,path:mmu00480,False
11509,Gstm2,0.0086884146341486,0.8975833138320339,0.9273555246296236,0.046925229592849095,0.032753736422859364,Gstm2,14863,path:mmu00480,False
11518,Gstm3,0.20080609756097625,0.14972595728052854,0.2301813896515061,0.8247029015510026,0.6379297923412465,Gstm3,14864,path:mmu00480,False
11527,Gstm4,0.10484207317072958,0.1098197714988579,0.17852253653049152,0.9593194642588434,0.7483069511314769,Gstm4,14865,path:mmu00480,False
11536,Gstm5,-0.08934451219512063,0.1040666242733435,0.17097820078806072,0.982688532910529,0.767059257332725,Gstm5,14866,path:mmu00480,False
11545,Gstm6,0.176326829268298,0.00821856295651755,0.020450407083254782,2.0852041136782598,1.6892980425587618,Gstm6,14867,path:mmu00480,False
11554,Gstm7,0.023726829268298392,0.5809705543299104,0.6742581085252255,0.2358458786528768,0.17117382208443374,Gstm7,68312,path:mmu00480,False
11563,Gsto1,0.09428963414634416,0.010543929631665856,0.025227559008045575,1.9769975011454748,1.598124769324758,Gsto1,14873,path:mmu00480,False
11572,Gsto2,0.0056963414634161325,0.8669668882255628,0.904843076545345,0.06199748906996139,0.04342673228615397,Gsto2,68214,path:mmu00480,False
11581,Gstp1,0.3916164634146391,4.592999705726496e-06,2.994569978337953e-05,5.337903582407324,4.523665533689832,Gstp1,14870,path:mmu00480,False
11591,Gstp2,0.41284329268292375,2.2830725937652266e-05,0.00012230345948200126,4.641480279236691,3.9125612583137213,Gstp2,14869,path:mmu00480,False
11600,Gstt1,-0.06270975609755958,0.16486781211715038,0.2492825065838916,0.7828641253403832,0.6033081970704327,Gstt1,14871,path:mmu00480,False
11609,Gstt2,0.06524695121951041,0.36996309012786543,0.4745150418786385,0.43184160175296266,0.3237500161105579,Gstt2,14872,path:mmu00480,False
11618,Gstt3,-0.12413048780487655,0.1623933017829161,0.246257222336966,0.78943188801794,0.6086110234695619,Gstt3,103140,path:mmu00480,False
11627,Gstt4,0.1861317073170703,1.5396434024977254e-06,1.1438623236998242e-05,5.812579854657482,4.941626244472736,Gstt4,75886,path:mmu00480,False
11636,Gstz1,-0.07016158536585415,0.03334251485680926,0.0662692346530521,1.47700164664224,1.1786880450702213,Gstz1,14874,path:mmu00350,False
11638,Gtf2a1,-0.0022396341463402076,0.9091313054837074,0.9355680108981408,0.04137338726345361,0.02892463608042033,Gtf2a1,83602,path:mmu03022,False
11640,Gtf2a1l,0.2557457317073162,3.5672238798334003e-14,1.819867603181361e-12,13.447669633379586,11.739960206135398,Gtf2a1l,71828,path:mmu03022,False
11642,Gtf2a2,0.11516951219511995,0.015119612141806156,0.03406983809250128,1.8204593494984271,1.4676299302918336,Gtf2a2,235459,path:mmu03022,False
11644,Gtf2b,-0.033791463414637235,0.5112158697461803,0.6111025137363323,0.29139567277567874,0.21388592983020988,Gtf2b,229906,path:mmu03022,False
11646,Gtf2e1,0.05344939024390172,0.2192050037649768,0.3128293634217852,0.6591495364891495,0.5046924890727461,Gtf2e1,74197,path:mmu03022,False
11648,Gtf2e2,-0.12361219512195555,0.008733559884118985,0.02151399020705989,2.0588086975434354,1.6672790333970684,Gtf2e2,68153,path:mmu03022,False
11650,Gtf2f1,0.0986957317073216,0.0003780225749627047,0.0014307718710886907,3.4224822639485413,2.8444296066493253,Gtf2f1,98053,path:mmu03022,False
